Student_Name,Student_mail_id,Program,Cohort,Term,Placed_Not_Placed,CGPA,AI_Tutor_Usage,AI_Mentor_Usage,AI_TKT_Exam_Usage,JPT_Usage,Yoodli_Usage
Student_20_Jan-22,student20@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,2.58,Low,None,Low,High,Low
Student_21_Jan-22,student21@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,3.27,Medium,High,Medium,Low,Low
Student_22_Jan-22,student22@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.53,Low,High,Low,Medium,High
Student_23_Jan-22,student23@jan-22.spjain.edu,MGB,Jan-22,Term 2,Not Placed,3.06,None,None,Low,Medium,High
Student_24_Jan-22,student24@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,3.26,Medium,High,None,None,High
Student_25_Jan-22,student25@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,3.89,None,Low,Low,Low,Medium
Student_26_Jan-22,student26@jan-22.spjain.edu,MGB,Jan-22,Term 4,Not Placed,2.76,Low,High,High,Medium,Medium
Student_27_Jan-22,student27@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,2.96,Medium,Medium,High,None,High
Student_28_Jan-22,student28@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,3.66,None,High,Medium,High,High
Student_29_Jan-22,student29@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,2.68,Low,High,High,Low,High
Student_30_Jan-22,student30@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,3.88,Medium,Medium,Medium,Low,High
Student_31_Jan-22,student31@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,3.77,Low,Low,Low,Medium,Medium
Student_32_Jan-22,student32@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,3.73,High,Medium,Medium,Low,Medium
Student_33_Jan-22,student33@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,3.89,None,Low,Medium,None,High
Student_34_Jan-22,student34@jan-22.spjain.edu,MGB,Jan-22,Term 2,Not Placed,3.97,None,Medium,Medium,None,High
Student_35_Jan-22,student35@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,3.2,Medium,None,Low,Low,High
Student_36_Jan-22,student36@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,3.24,None,Low,None,Low,None
Student_37_Jan-22,student37@jan-22.spjain.edu,MGB,Jan-22,Term 2,Not Placed,2.94,None,Medium,High,None,Low
Student_38_Jan-22,student38@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,4.0,None,High,None,None,High
Student_39_Jan-22,student39@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,3.09,High,Medium,High,Low,Medium
Student_40_Jan-22,student40@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,3.39,None,High,Medium,None,None
Student_41_Jan-22,student41@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.63,None,Low,None,None,None
Student_42_Jan-22,student42@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,3.65,High,High,Low,None,None
Student_43_Jan-22,student43@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,2.54,High,High,None,High,Medium
Student_44_Jan-22,student44@jan-22.spjain.edu,MGB,Jan-22,Term 4,Not Placed,2.73,High,High,None,None,Medium
Student_45_Jan-22,student45@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.24,Low,Low,High,High,None
Student_46_Jan-22,student46@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,3.18,None,None,None,High,High
Student_47_Jan-22,student47@jan-22.spjain.edu,MGB,Jan-22,Term 2,Not Placed,3.83,Medium,None,None,Medium,Low
Student_48_Jan-22,student48@jan-22.spjain.edu,MGB,Jan-22,Term 4,Not Placed,3.65,None,None,None,Medium,High
Student_49_Jan-22,student49@jan-22.spjain.edu,MGB,Jan-22,Term 4,Not Placed,3.24,None,Low,Low,Low,High
Student_50_Jan-22,student50@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,2.69,Low,Low,High,Low,None
Student_51_Jan-22,student51@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,3.02,Low,None,Low,High,Medium
Student_52_Jan-22,student52@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,3.47,High,High,Low,High,Low
Student_53_Jan-22,student53@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,3.31,High,None,None,None,Low
Student_54_Jan-22,student54@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,3.38,Low,None,None,Low,High
Student_55_Jan-22,student55@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,3.54,Medium,Low,None,Low,Medium
Student_56_Jan-22,student56@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.95,Medium,None,High,Medium,Low
Student_57_Jan-22,student57@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,2.95,None,Medium,High,High,Low
Student_58_Jan-22,student58@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,3.35,None,None,Medium,Low,High
Student_59_Jan-22,student59@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.15,Low,Medium,None,None,Low
Student_60_Jan-22,student60@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,3.82,Medium,None,Medium,None,Low
Student_61_Jan-22,student61@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,3.28,Low,None,Medium,Medium,Medium
Student_62_Jan-22,student62@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.12,High,Medium,None,Low,Low
Student_63_Jan-22,student63@jan-22.spjain.edu,MGB,Jan-22,Term 2,Not Placed,3.53,Medium,None,Medium,High,Medium
Student_64_Jan-22,student64@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,2.87,Low,None,None,None,None
Student_65_Jan-22,student65@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,2.74,Medium,High,Low,Low,Medium
Student_66_Jan-22,student66@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,3.67,High,High,Low,Low,High
Student_67_Jan-22,student67@jan-22.spjain.edu,MGB,Jan-22,Term 4,Not Placed,3.51,High,None,Medium,Medium,High
Student_68_Jan-22,student68@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,3.24,High,Medium,High,Low,Low
Student_69_Jan-22,student69@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,3.9,Medium,Medium,High,Medium,Medium
Student_70_Jan-22,student70@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.11,High,None,Low,High,Low
Student_71_Jan-22,student71@jan-22.spjain.edu,MGB,Jan-22,Term 4,Not Placed,3.52,Low,Medium,Low,None,Low
Student_72_Jan-22,student72@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,3.47,High,High,Medium,Low,None
Student_73_Jan-22,student73@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.85,High,Medium,None,None,High
Student_74_Jan-22,student74@jan-22.spjain.edu,MGB,Jan-22,Term 4,Not Placed,2.95,Medium,Low,Medium,Medium,None
Student_75_Jan-22,student75@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.68,Low,High,None,None,None
Student_76_Jan-22,student76@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.82,High,Medium,Low,High,Low
Student_77_Jan-22,student77@jan-22.spjain.edu,MGB,Jan-22,Term 4,Not Placed,3.18,High,High,Medium,None,Medium
Student_78_Jan-22,student78@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,2.8,Low,Low,High,High,Medium
Student_79_Jan-22,student79@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,3.77,None,Low,None,None,Medium
Student_80_Jan-22,student80@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,3.53,Low,Low,Medium,High,None
Student_81_Jan-22,student81@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,3.09,None,Medium,High,High,Medium
Student_82_Jan-22,student82@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,2.8,Medium,High,None,None,Low
Student_83_Jan-22,student83@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,3.94,Medium,High,High,None,None
Student_84_Jan-22,student84@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,2.84,Medium,Medium,Low,Low,None
Student_85_Jan-22,student85@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,3.15,Medium,Medium,Low,Medium,None
Student_86_Jan-22,student86@jan-22.spjain.edu,MGB,Jan-22,Term 2,Not Placed,3.69,High,Low,Low,Medium,None
Student_87_Jan-22,student87@jan-22.spjain.edu,MGB,Jan-22,Term 2,Not Placed,3.37,None,High,High,None,Medium
Student_88_Jan-22,student88@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.53,None,None,Low,High,High
Student_89_Jan-22,student89@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,3.0,Medium,None,Low,High,High
Student_90_Jan-22,student90@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,2.95,None,Low,Medium,High,Medium
Student_91_Jan-22,student91@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,3.26,Low,None,Medium,High,Low
Student_92_Jan-22,student92@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,2.89,Low,High,Medium,None,Low
Student_93_Jan-22,student93@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,2.92,Low,Low,Low,None,Medium
Student_94_Jan-22,student94@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.65,Medium,None,High,Medium,Medium
Student_95_Jan-22,student95@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,2.77,None,Low,Medium,None,None
Student_96_Jan-22,student96@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,2.56,Low,None,None,None,High
Student_97_Jan-22,student97@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,3.02,Medium,Low,Medium,Medium,Low
Student_98_Jan-22,student98@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,3.29,Medium,None,High,Medium,None
Student_99_Jan-22,student99@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,2.54,High,None,Low,High,Low
Student_100_Jan-22,student100@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,2.62,None,None,Low,High,Low
Student_101_Jan-22,student101@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,2.99,Medium,Medium,High,Low,Low
Student_102_Jan-22,student102@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,3.32,None,High,None,Low,Medium
Student_103_Jan-22,student103@jan-22.spjain.edu,MGB,Jan-22,Term 2,Not Placed,2.63,Medium,Medium,None,None,Low
Student_104_Jan-22,student104@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,2.95,None,Low,Medium,Low,High
Student_105_Jan-22,student105@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,3.23,None,None,Low,None,High
Student_106_Jan-22,student106@jan-22.spjain.edu,MGB,Jan-22,Term 4,Not Placed,3.42,None,None,High,High,Low
Student_107_Jan-22,student107@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,3.47,Medium,None,High,Low,None
Student_108_Jan-22,student108@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,3.86,None,Low,Medium,Medium,Low
Student_109_Jan-22,student109@jan-22.spjain.edu,MGB,Jan-22,Term 2,Not Placed,2.94,High,High,High,High,None
Student_110_Jan-22,student110@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,3.2,Low,Low,Low,High,High
Student_111_Jan-22,student111@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,2.77,Medium,None,High,High,None
Student_112_Jan-22,student112@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.38,None,None,Low,Low,Medium
Student_113_Jan-22,student113@jan-22.spjain.edu,MGB,Jan-22,Term 2,Placed,2.62,Low,High,None,High,High
Student_114_Jan-22,student114@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,2.52,None,None,None,None,Low
Student_115_Jan-22,student115@jan-22.spjain.edu,MGB,Jan-22,Term 3,Not Placed,3.71,High,Medium,Medium,High,Medium
Student_116_Jan-22,student116@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,3.54,Medium,High,Medium,None,Medium
Student_117_Jan-22,student117@jan-22.spjain.edu,MGB,Jan-22,Term 2,Not Placed,3.76,Medium,High,Low,None,Medium
Student_118_Jan-22,student118@jan-22.spjain.edu,MGB,Jan-22,Term 4,Not Placed,2.53,Medium,Medium,None,None,None
Student_1_May-22,student1@may-22.spjain.edu,MGB,May-22,Term 4,Placed,2.8,None,High,Low,High,High
Student_2_May-22,student2@may-22.spjain.edu,MGB,May-22,Term 4,Not Placed,3.77,Low,High,None,None,None
Student_3_May-22,student3@may-22.spjain.edu,MGB,May-22,Term 4,Placed,3.57,High,None,Low,High,Low
Student_4_May-22,student4@may-22.spjain.edu,MGB,May-22,Term 4,Not Placed,2.68,Low,None,None,High,Medium
Student_5_May-22,student5@may-22.spjain.edu,MGB,May-22,Term 3,Placed,3.2,None,Medium,Medium,Low,None
Student_6_May-22,student6@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,3.58,None,None,Low,None,Medium
Student_7_May-22,student7@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,3.54,High,None,Medium,Medium,Medium
Student_8_May-22,student8@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,2.65,None,None,Low,Medium,Medium
Student_9_May-22,student9@may-22.spjain.edu,MGB,May-22,Term 1,Placed,3.04,Low,Low,Medium,Medium,High
Student_10_May-22,student10@may-22.spjain.edu,MGB,May-22,Term 1,Not Placed,3.15,Medium,High,Medium,None,Low
Student_11_May-22,student11@may-22.spjain.edu,MGB,May-22,Term 3,Not Placed,3.65,Low,Medium,High,High,None
Student_12_May-22,student12@may-22.spjain.edu,MGB,May-22,Term 4,Placed,3.96,High,High,High,Medium,High
Student_13_May-22,student13@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,2.74,Low,None,None,High,Medium
Student_14_May-22,student14@may-22.spjain.edu,MGB,May-22,Term 3,Not Placed,3.73,High,Medium,None,None,High
Student_15_May-22,student15@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,3.01,Medium,High,Low,Low,None
Student_16_May-22,student16@may-22.spjain.edu,MGB,May-22,Term 3,Placed,2.73,None,Medium,Medium,None,None
Student_17_May-22,student17@may-22.spjain.edu,MGB,May-22,Term 4,Not Placed,3.93,Low,High,None,Medium,High
Student_18_May-22,student18@may-22.spjain.edu,MGB,May-22,Term 1,Placed,3.01,None,Medium,None,High,None
Student_19_May-22,student19@may-22.spjain.edu,MGB,May-22,Term 1,Placed,3.85,High,Low,None,None,Low
Student_20_May-22,student20@may-22.spjain.edu,MGB,May-22,Term 3,Not Placed,2.51,Low,Medium,None,None,Medium
Student_21_May-22,student21@may-22.spjain.edu,MGB,May-22,Term 4,Not Placed,3.83,None,Medium,Low,High,High
Student_22_May-22,student22@may-22.spjain.edu,MGB,May-22,Term 3,Not Placed,3.59,Medium,Low,Medium,High,Low
Student_23_May-22,student23@may-22.spjain.edu,MGB,May-22,Term 3,Placed,2.54,Low,Medium,Low,None,High
Student_24_May-22,student24@may-22.spjain.edu,MGB,May-22,Term 1,Not Placed,2.89,Low,High,High,High,None
Student_25_May-22,student25@may-22.spjain.edu,MGB,May-22,Term 3,Placed,3.18,Medium,Medium,Low,Low,Low
Student_26_May-22,student26@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,3.28,Medium,High,Low,Medium,Low
Student_27_May-22,student27@may-22.spjain.edu,MGB,May-22,Term 4,Placed,2.72,None,None,High,High,High
Student_28_May-22,student28@may-22.spjain.edu,MGB,May-22,Term 4,Placed,3.21,None,High,Low,None,None
Student_29_May-22,student29@may-22.spjain.edu,MGB,May-22,Term 3,Not Placed,3.45,None,None,None,Medium,Medium
Student_30_May-22,student30@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,3.57,Medium,High,Medium,None,None
Student_31_May-22,student31@may-22.spjain.edu,MGB,May-22,Term 1,Placed,3.92,Low,High,None,High,High
Student_32_May-22,student32@may-22.spjain.edu,MGB,May-22,Term 3,Not Placed,2.56,Medium,High,Low,Low,Low
Student_33_May-22,student33@may-22.spjain.edu,MGB,May-22,Term 3,Not Placed,3.23,Medium,Medium,None,High,Low
Student_34_May-22,student34@may-22.spjain.edu,MGB,May-22,Term 3,Placed,2.77,None,High,High,Low,High
Student_35_May-22,student35@may-22.spjain.edu,MGB,May-22,Term 1,Not Placed,3.22,Low,None,Low,None,None
Student_36_May-22,student36@may-22.spjain.edu,MGB,May-22,Term 2,Placed,3.26,None,None,None,Medium,Low
Student_37_May-22,student37@may-22.spjain.edu,MGB,May-22,Term 1,Not Placed,3.08,None,Low,High,None,Low
Student_38_May-22,student38@may-22.spjain.edu,MGB,May-22,Term 1,Placed,3.56,Low,High,High,Medium,High
Student_39_May-22,student39@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,3.25,High,High,Medium,High,Low
Student_40_May-22,student40@may-22.spjain.edu,MGB,May-22,Term 2,Placed,3.74,None,High,Low,None,High
Student_41_May-22,student41@may-22.spjain.edu,MGB,May-22,Term 4,Placed,3.01,Medium,None,High,Low,None
Student_42_May-22,student42@may-22.spjain.edu,MGB,May-22,Term 3,Placed,2.67,High,Medium,Low,Medium,Medium
Student_43_May-22,student43@may-22.spjain.edu,MGB,May-22,Term 3,Placed,2.73,None,Medium,High,Low,Medium
Student_44_May-22,student44@may-22.spjain.edu,MGB,May-22,Term 1,Placed,2.95,High,Low,Medium,None,Low
Student_45_May-22,student45@may-22.spjain.edu,MGB,May-22,Term 3,Not Placed,3.91,High,High,Medium,Medium,Medium
Student_46_May-22,student46@may-22.spjain.edu,MGB,May-22,Term 4,Not Placed,3.92,Low,High,Low,None,None
Student_47_May-22,student47@may-22.spjain.edu,MGB,May-22,Term 1,Not Placed,2.54,Medium,High,Low,High,Medium
Student_48_May-22,student48@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,3.35,None,High,Medium,Medium,Low
Student_49_May-22,student49@may-22.spjain.edu,MGB,May-22,Term 2,Placed,3.31,None,None,High,High,None
Student_50_May-22,student50@may-22.spjain.edu,MGB,May-22,Term 3,Placed,2.5,None,Low,Low,None,Low
Student_51_May-22,student51@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,2.57,High,Low,High,None,High
Student_52_May-22,student52@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,3.82,Medium,Low,Low,Low,None
Student_53_May-22,student53@may-22.spjain.edu,MGB,May-22,Term 3,Placed,3.49,Low,Low,Medium,None,Low
Student_54_May-22,student54@may-22.spjain.edu,MGB,May-22,Term 1,Placed,3.47,High,None,High,High,Medium
Student_55_May-22,student55@may-22.spjain.edu,MGB,May-22,Term 4,Not Placed,3.64,High,High,High,None,High
Student_56_May-22,student56@may-22.spjain.edu,MGB,May-22,Term 3,Not Placed,3.74,Low,None,Medium,High,High
Student_57_May-22,student57@may-22.spjain.edu,MGB,May-22,Term 4,Not Placed,3.9,None,High,Medium,High,Low
Student_58_May-22,student58@may-22.spjain.edu,MGB,May-22,Term 3,Placed,2.63,Low,Medium,Medium,None,Low
Student_59_May-22,student59@may-22.spjain.edu,MGB,May-22,Term 1,Not Placed,3.24,Medium,High,Medium,None,High
Student_60_May-22,student60@may-22.spjain.edu,MGB,May-22,Term 3,Not Placed,2.76,Medium,Medium,High,Medium,High
Student_61_May-22,student61@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,3.9,Medium,Low,Medium,High,Low
Student_62_May-22,student62@may-22.spjain.edu,MGB,May-22,Term 4,Placed,3.91,High,Low,None,None,Low
Student_63_May-22,student63@may-22.spjain.edu,MGB,May-22,Term 1,Not Placed,3.24,High,Medium,High,Low,None
Student_64_May-22,student64@may-22.spjain.edu,MGB,May-22,Term 4,Not Placed,2.51,Medium,Low,High,High,Medium
Student_65_May-22,student65@may-22.spjain.edu,MGB,May-22,Term 4,Placed,3.88,Medium,Medium,Low,Low,High
Student_66_May-22,student66@may-22.spjain.edu,MGB,May-22,Term 1,Placed,3.22,High,Low,Low,Medium,High
Student_67_May-22,student67@may-22.spjain.edu,MGB,May-22,Term 4,Placed,3.94,High,Low,Medium,High,None
Student_68_May-22,student68@may-22.spjain.edu,MGB,May-22,Term 1,Not Placed,3.37,High,High,High,None,Low
Student_69_May-22,student69@may-22.spjain.edu,MGB,May-22,Term 1,Placed,2.59,None,High,Low,None,High
Student_70_May-22,student70@may-22.spjain.edu,MGB,May-22,Term 1,Placed,3.34,Low,None,None,High,None
Student_71_May-22,student71@may-22.spjain.edu,MGB,May-22,Term 2,Placed,3.18,None,None,High,Low,High
Student_72_May-22,student72@may-22.spjain.edu,MGB,May-22,Term 4,Not Placed,3.38,High,High,High,High,Medium
Student_73_May-22,student73@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,3.03,None,None,Medium,Medium,Medium
Student_74_May-22,student74@may-22.spjain.edu,MGB,May-22,Term 1,Placed,2.69,None,Low,Low,Medium,Medium
Student_75_May-22,student75@may-22.spjain.edu,MGB,May-22,Term 4,Not Placed,3.4,Low,Low,High,Medium,High
Student_76_May-22,student76@may-22.spjain.edu,MGB,May-22,Term 2,Placed,3.13,Medium,Medium,Medium,High,Low
Student_77_May-22,student77@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,3.54,None,Low,Low,Low,None
Student_78_May-22,student78@may-22.spjain.edu,MGB,May-22,Term 3,Placed,2.66,High,None,Medium,High,Medium
Student_79_May-22,student79@may-22.spjain.edu,MGB,May-22,Term 2,Not Placed,3.44,Medium,None,Low,None,Medium
Student_80_May-22,student80@may-22.spjain.edu,MGB,May-22,Term 4,Placed,3.74,High,Low,High,High,Low
Student_1_Sep-22,student1@sep-22.spjain.edu,MGB,Sep-22,Term 1,Placed,2.94,Medium,Low,High,High,Medium
Student_2_Sep-22,student2@sep-22.spjain.edu,MGB,Sep-22,Term 2,Not Placed,2.76,Low,Medium,Low,Medium,Medium
Student_3_Sep-22,student3@sep-22.spjain.edu,MGB,Sep-22,Term 2,Placed,2.76,Low,High,High,Medium,None
Student_4_Sep-22,student4@sep-22.spjain.edu,MGB,Sep-22,Term 1,Not Placed,3.9,Low,None,Medium,Low,Low
Student_5_Sep-22,student5@sep-22.spjain.edu,MGB,Sep-22,Term 2,Not Placed,3.82,High,High,Medium,Medium,Medium
Student_6_Sep-22,student6@sep-22.spjain.edu,MGB,Sep-22,Term 2,Not Placed,3.54,Low,None,Medium,High,Medium
Student_7_Sep-22,student7@sep-22.spjain.edu,MGB,Sep-22,Term 3,Placed,2.99,High,Low,Medium,None,Medium
Student_8_Sep-22,student8@sep-22.spjain.edu,MGB,Sep-22,Term 1,Not Placed,3.69,High,Medium,None,Low,None
Student_9_Sep-22,student9@sep-22.spjain.edu,MGB,Sep-22,Term 4,Placed,2.98,Low,None,None,None,Low
Student_10_Sep-22,student10@sep-22.spjain.edu,MGB,Sep-22,Term 4,Placed,2.81,Medium,None,Medium,None,Medium
Student_11_Sep-22,student11@sep-22.spjain.edu,MGB,Sep-22,Term 3,Not Placed,3.83,Medium,Low,Low,High,Medium
Student_12_Sep-22,student12@sep-22.spjain.edu,MGB,Sep-22,Term 1,Not Placed,3.17,Low,Medium,High,None,Low
Student_13_Sep-22,student13@sep-22.spjain.edu,MGB,Sep-22,Term 4,Not Placed,3.2,None,Low,None,Low,Low
Student_14_Sep-22,student14@sep-22.spjain.edu,MGB,Sep-22,Term 4,Placed,2.77,Medium,Low,High,Low,High
Student_15_Sep-22,student15@sep-22.spjain.edu,MGB,Sep-22,Term 3,Placed,3.68,Medium,High,High,High,Low
Student_16_Sep-22,student16@sep-22.spjain.edu,MGB,Sep-22,Term 1,Placed,3.0,Low,Low,Low,Low,Medium
Student_17_Sep-22,student17@sep-22.spjain.edu,MGB,Sep-22,Term 2,Not Placed,2.51,Low,Low,Low,None,None
Student_18_Sep-22,student18@sep-22.spjain.edu,MGB,Sep-22,Term 1,Not Placed,3.48,Medium,None,Medium,Medium,Medium
Student_19_Sep-22,student19@sep-22.spjain.edu,MGB,Sep-22,Term 4,Placed,3.27,None,None,Low,High,Low
Student_20_Sep-22,student20@sep-22.spjain.edu,MGB,Sep-22,Term 2,Not Placed,3.66,None,Medium,None,None,High
Student_21_Sep-22,student21@sep-22.spjain.edu,MGB,Sep-22,Term 3,Placed,3.37,Medium,Low,High,None,Low
Student_22_Sep-22,student22@sep-22.spjain.edu,MGB,Sep-22,Term 3,Placed,3.13,None,Low,Low,High,High
Student_23_Sep-22,student23@sep-22.spjain.edu,MGB,Sep-22,Term 2,Placed,3.97,Low,None,None,Medium,None
Student_24_Sep-22,student24@sep-22.spjain.edu,MGB,Sep-22,Term 1,Not Placed,2.78,High,Low,None,Low,High
Student_25_Sep-22,student25@sep-22.spjain.edu,MGB,Sep-22,Term 2,Placed,3.51,Medium,High,None,High,Medium
