Campus,Course_Name,Cohort,Unit_Name,Faculty,Email_ID,Unit_Commencement_date,No_of_Session_IDs_created,Total_Students_Participated,Batch_size,Student_adoption_rate,End_Date,No_of_students_who_filled_form,Size_of_batch_when_feedback_taken,Faculty_Avg_Score,AI_Tutor_quality_score,AI_Tutor_impact_score,Avg_Rating_for_AI_Tutor_Tool,Implemented_AI_Tutor,Features_found_useful,Used_Document_Creator,Quizzes_conducted,Quizzes_used_for_grading,Quiz_outcome,Faculty_Feedback
SG,MGB,Sep-22,Unit 1,Prof_Smith,prof_brown@spjain.edu,26-Sep-2022,13,83,141,94.98206171031816,27-Jan-2022,65,95,3.716204443785088,4.33420523799579,3.9351220291191,4.061456409569233,Y,Quiz Generator,N,0,3,Satisfactory,Some Concerns
SG,MGB,Sep-22,Unit 2,Prof_Williams,prof_brown@spjain.edu,23-Dec-2022,25,89,112,77.4176956373641,2-Oct-2022,94,83,4.472368228492783,3.862881800198231,4.342595353904868,4.2039905360873195,Y,Document Creator,Y,2,0,Excellent,Positive
SG,MGB,Sep-22,Unit 3,Prof_Brown,prof_smith@spjain.edu,19-Apr-2022,11,119,105,80.48062288339682,19-Oct-2022,93,100,4.715118135057355,4.02468511936589,4.487810980868356,3.8341603336621843,N,Quiz Generator,N,7,2,Excellent,Very Positive
SG,MGB,Sep-22,Unit 4,Prof_Brown,prof_jones@spjain.edu,19-Feb-2022,12,114,113,82.64711735121914,5-Jun-2022,64,95,3.980385215360549,3.973521515592955,4.617119450103788,4.48495589512232,Y,Study Planner,Y,2,2,Excellent,Very Positive
SG,MGB,Sep-22,Unit 5,Prof_Jones,prof_johnson@spjain.edu,9-May-2022,16,101,113,87.18742822003327,28-May-2022,92,111,3.8264576276908624,4.79897495084043,3.755878783028784,4.387998226232872,N,Document Creator,Y,5,1,Satisfactory,Positive
DXB,MGB,Jan-22,Unit 1,Prof_Brown,prof_jones@spjain.edu,23-Jul-2022,10,87,104,93.62627347616598,23-Mar-2022,94,82,4.584973525851821,4.440760523138773,3.862903164124231,3.6784237269949944,N,Study Planner,Y,5,1,Good,Very Positive
DXB,MGB,Jan-22,Unit 2,Prof_Williams,prof_jones@spjain.edu,28-Jul-2022,14,95,110,94.40515082327407,26-Mar-2022,86,81,3.733168862443669,4.816936024765701,4.560625145762395,4.076398433172176,Y,Study Planner,Y,1,3,Excellent,Some Concerns
DXB,MGB,Jan-22,Unit 3,Prof_Johnson,prof_johnson@spjain.edu,27-Aug-2022,21,99,150,91.78307589657521,8-Jan-2022,72,105,3.9267405365570185,4.750788236233316,4.763578014453197,3.89077498981062,N,Study Planner,Y,1,2,Good,Neutral
DXB,MGB,Jan-22,Unit 4,Prof_Smith,prof_smith@spjain.edu,20-Jul-2022,21,100,127,85.15522133265358,17-Feb-2022,84,116,3.747102406852985,3.8488251870845542,4.179663267000469,4.22788848799322,Y,Study Planner,N,1,5,Satisfactory,Neutral
DXB,MGB,Jan-22,Unit 5,Prof_Smith,prof_williams@spjain.edu,17-May-2022,23,100,125,87.43021035485998,18-Mar-2022,72,106,4.3644082644766025,4.217059804834796,4.522948016174779,3.7436382804939217,N,All Features,Y,4,2,Good,Some Concerns
DXB,MGB,May-22,Unit 1,Prof_Jones,prof_jones@spjain.edu,21-Jun-2022,24,108,128,86.8906808297525,17-Aug-2022,70,85,3.8689223264909356,4.530239219935499,4.381186885898613,3.630742080105788,Y,Study Planner,Y,3,1,Excellent,Very Positive
DXB,MGB,May-22,Unit 2,Prof_Johnson,prof_brown@spjain.edu,20-Feb-2022,24,106,140,84.39177248523295,23-Dec-2022,84,111,4.019548721739499,3.962328479600428,4.456384654388572,4.749723756695913,Y,All Features,Y,2,5,Needs Improvement,Very Positive
DXB,MGB,May-22,Unit 3,Prof_Jones,prof_johnson@spjain.edu,28-Feb-2022,24,88,129,86.68944331465883,18-Oct-2022,80,108,4.296448019590292,4.591201357403564,4.255255981306842,4.6627968376099815,N,Quiz Generator,N,7,2,Good,Neutral
DXB,MGB,May-22,Unit 4,Prof_Jones,prof_brown@spjain.edu,21-Apr-2022,18,108,104,87.83862156527641,8-May-2022,81,100,4.660934882627412,3.8886354234234353,3.8659137238143955,4.036249409403873,Y,Quiz Generator,Y,6,3,Satisfactory,Some Concerns
DXB,MGB,May-22,Unit 5,Prof_Brown,prof_smith@spjain.edu,7-Jul-2022,22,117,144,70.48829891844318,25-Oct-2022,84,110,3.507664908659191,4.1869346829390075,4.528822637565324,4.694827130796747,N,Quiz Generator,N,3,2,Needs Improvement,Some Concerns
DXB,MGB,Sep-22,Unit 1,Prof_Smith,prof_brown@spjain.edu,11-Nov-2022,22,90,129,92.9885405167244,20-Sep-2022,61,105,4.269460608316284,4.529299732519777,3.7923422083782006,4.100057877525533,N,Quiz Generator,Y,4,3,Satisfactory,Positive
DXB,MGB,Sep-22,Unit 2,Prof_Brown,prof_williams@spjain.edu,11-Jul-2022,18,106,116,90.87277287280303,16-Jan-2022,94,83,4.799880177061972,4.1849563780922026,4.4151585025748625,4.593726269455253,Y,Document Creator,Y,3,0,Good,Positive
DXB,MGB,Sep-22,Unit 3,Prof_Johnson,prof_brown@spjain.edu,22-Feb-2022,16,109,144,76.40609241405467,12-Mar-2022,98,118,4.752855167331571,4.5901929514556095,4.555571074792976,3.729272134234079,N,Document Creator,Y,4,4,Needs Improvement,Some Concerns
DXB,MGB,Sep-22,Unit 4,Prof_Johnson,prof_smith@spjain.edu,19-Dec-2022,17,86,144,89.3120221237806,28-Nov-2022,98,87,4.535095381580275,4.422525810904047,3.74517604322675,4.245843343434701,N,Document Creator,N,0,3,Needs Improvement,Very Positive
DXB,MGB,Sep-22,Unit 5,Prof_Brown,prof_williams@spjain.edu,21-Aug-2022,14,107,111,88.3448826003348,21-May-2022,99,114,4.507033885483047,4.311361148797959,4.608308058262831,4.329464466689183,N,Quiz Generator,Y,4,3,Good,Some Concerns
MUM,MGB,Jan-22,Unit 1,Prof_Jones,prof_jones@spjain.edu,22-Jul-2022,20,81,131,91.27382090781148,6-Aug-2022,73,102,4.537182063876525,4.174372727480712,4.668351977734048,4.481657250465083,N,Document Creator,Y,1,1,Needs Improvement,Some Concerns
MUM,MGB,Jan-22,Unit 2,Prof_Jones,prof_johnson@spjain.edu,23-Aug-2022,25,108,150,70.43108148370932,10-Apr-2022,85,95,3.898067839169115,4.439711143865604,4.220586537635477,4.2432907036040755,N,Study Planner,N,7,2,Satisfactory,Neutral
MUM,MGB,Jan-22,Unit 3,Prof_Johnson,prof_smith@spjain.edu,24-Apr-2022,20,87,147,83.39659913459374,25-Dec-2022,71,92,3.7813000318421874,4.33261844593398,4.497043501202357,4.86724983203628,N,Document Creator,Y,4,1,Satisfactory,Positive
MUM,MGB,Jan-22,Unit 4,Prof_Williams,prof_smith@spjain.edu,23-Sep-2022,14,97,102,94.35737327756846,18-May-2022,68,120,4.628999556441827,4.339966563976157,4.659991708498388,4.3036899074768655,N,All Features,N,5,1,Excellent,Neutral
MUM,MGB,Jan-22,Unit 5,Prof_Brown,prof_smith@spjain.edu,27-Feb-2022,22,111,104,84.42552891177046,22-Jan-2022,69,89,4.554484699157562,4.844038206593835,3.793698999235853,3.847467337294163,N,Quiz Generator,N,7,3,Satisfactory,Some Concerns
MUM,MGB,May-22,Unit 1,Prof_Williams,prof_jones@spjain.edu,20-Jan-2022,13,93,140,75.27562988263483,22-Feb-2022,70,95,3.7259576128243648,3.8825713557912844,3.7029432948631746,4.130705186464784,N,Study Planner,Y,3,2,Satisfactory,Some Concerns
MUM,MGB,May-22,Unit 2,Prof_Smith,prof_johnson@spjain.edu,9-Nov-2022,16,107,107,83.61405946776446,21-Mar-2022,77,89,3.5928327879125583,3.982515068142797,4.038372993875656,4.548540810897473,N,All Features,Y,7,5,Satisfactory,Some Concerns
MUM,MGB,May-22,Unit 3,Prof_Williams,prof_jones@spjain.edu,18-Aug-2022,24,85,138,70.99651960459033,14-Dec-2022,80,118,3.825478273135605,3.9004595752940836,4.75810221241212,4.670342059468654,Y,Study Planner,Y,2,3,Needs Improvement,Neutral
MUM,MGB,May-22,Unit 4,Prof_Johnson,prof_jones@spjain.edu,14-Nov-2022,25,85,130,78.69902640736626,11-Jun-2022,66,90,3.928744762652655,4.563041041381776,4.017039574897601,4.823270955388495,Y,All Features,Y,5,2,Satisfactory,Very Positive
MUM,MGB,May-22,Unit 5,Prof_Brown,prof_jones@spjain.edu,27-Jan-2022,24,106,103,74.68956353486318,12-Oct-2022,91,120,4.07465324243894,3.8567729527049814,3.993761862100226,3.6834185205306254,N,All Features,N,1,0,Good,Positive
MUM,MGB,Sep-22,Unit 1,Prof_Williams,prof_jones@spjain.edu,1-Sep-2022,23,85,114,94.80642848488048,4-Aug-2022,67,89,4.147888156119354,4.588263658590971,4.259759216576463,3.882794855398584,N,All Features,Y,7,4,Good,Some Concerns
MUM,MGB,Sep-22,Unit 2,Prof_Johnson,prof_jones@spjain.edu,17-Dec-2022,14,84,117,89.31687831692513,28-Jul-2022,81,112,3.847324461986976,3.8028217852944346,4.498656080874886,4.67246629164899,N,Quiz Generator,N,8,3,Satisfactory,Neutral
MUM,MGB,Sep-22,Unit 3,Prof_Jones,prof_jones@spjain.edu,13-Aug-2022,20,92,144,75.97013860415623,13-Apr-2022,86,82,3.9136292254039398,4.320273875264456,4.7047731846015886,4.03372360572599,Y,All Features,Y,2,4,Satisfactory,Very Positive
MUM,MGB,Sep-22,Unit 4,Prof_Brown,prof_smith@spjain.edu,17-Aug-2022,10,89,126,91.77332428373049,5-Feb-2022,90,96,3.940129604266861,4.5619750584455705,4.4148203178372,4.6924714092909685,N,Study Planner,N,8,0,Excellent,Positive
MUM,MGB,Sep-22,Unit 5,Prof_Williams,prof_johnson@spjain.edu,24-Feb-2022,23,86,148,85.84369571951979,28-Feb-2022,88,90,4.402201511631205,4.7937664682555345,3.7505900655449342,4.614600851227097,N,Study Planner,N,6,1,Good,Some Concerns
SG,GMBA,Jan-22,Unit 1,Prof_Jones,prof_johnson@spjain.edu,6-Mar-2022,12,119,124,85.49275921343539,8-Aug-2022,97,89,3.801844977583698,4.501695094103925,4.205527549094404,4.433577004173073,N,Study Planner,Y,1,3,Satisfactory,Neutral
SG,GMBA,Jan-22,Unit 2,Prof_Brown,prof_williams@spjain.edu,15-May-2022,16,104,130,72.66633168555903,13-Oct-2022,82,116,3.8846341072805197,4.569206987505807,3.724133557645522,4.662052586089982,N,Study Planner,Y,0,4,Needs Improvement,Neutral
SG,GMBA,Jan-22,Unit 3,Prof_Johnson,prof_jones@spjain.edu,26-Jun-2022,17,120,112,85.5222790782576,22-Dec-2022,68,120,3.626313108760303,4.490203918598404,3.7433648313568995,4.604054677614216,Y,Study Planner,Y,1,2,Satisfactory,Some Concerns
SG,GMBA,Jan-22,Unit 4,Prof_Johnson,prof_johnson@spjain.edu,5-Sep-2022,21,113,132,92.83717436204242,27-Mar-2022,76,110,4.757599299016856,4.124655594089741,4.657436655257544,4.625925554046315,N,Document Creator,Y,3,5,Needs Improvement,Neutral
SG,GMBA,Jan-22,Unit 5,Prof_Smith,prof_brown@spjain.edu,1-May-2022,13,109,123,86.82070954684384,22-May-2022,97,104,4.569142491594807,4.83432108095751,3.8191807124191537,3.8273506630962166,Y,Study Planner,Y,1,5,Needs Improvement,Neutral
SG,GMBA,May-22,Unit 1,Prof_Brown,prof_smith@spjain.edu,5-Jan-2022,11,99,131,72.90301201812774,8-Sep-2022,68,104,4.089736883955561,4.537534840735189,4.517454133675488,4.824363720091205,N,Quiz Generator,N,1,3,Needs Improvement,Neutral
SG,GMBA,May-22,Unit 2,Prof_Smith,prof_williams@spjain.edu,7-Aug-2022,24,95,123,72.48386561515326,22-Jun-2022,94,102,3.5787151159165913,4.103469584947746,4.765027563530025,4.828615103566992,N,Document Creator,Y,0,0,Satisfactory,Positive
SG,GMBA,May-22,Unit 3,Prof_Johnson,prof_jones@spjain.edu,7-Feb-2022,16,117,113,90.32632452802648,8-Jun-2022,69,118,3.503686216924021,4.744246739018195,3.859156778352559,3.6819889840208115,N,Quiz Generator,Y,0,1,Excellent,Neutral
SG,GMBA,May-22,Unit 4,Prof_Johnson,prof_jones@spjain.edu,11-Jan-2022,15,96,103,73.16896359281951,14-Sep-2022,67,84,4.119119755050225,4.655818743245623,4.264561753370111,3.6526756140053838,Y,Document Creator,N,7,5,Excellent,Very Positive
SG,GMBA,May-22,Unit 5,Prof_Brown,prof_brown@spjain.edu,14-Nov-2022,13,111,145,92.74252072788073,3-Feb-2022,80,118,3.692833973358474,3.9388107471355616,4.386749243709328,4.31951056396737,N,All Features,N,7,4,Needs Improvement,Very Positive
SG,GMBA,Sep-22,Unit 1,Prof_Smith,prof_jones@spjain.edu,24-Apr-2022,23,108,114,80.34533927942283,27-Aug-2022,85,106,4.448496259924855,4.143803184996846,4.043775928256054,3.856845715075891,Y,All Features,Y,1,0,Excellent,Some Concerns
SG,GMBA,Sep-22,Unit 2,Prof_Smith,prof_williams@spjain.edu,26-Mar-2022,11,117,135,84.0420845392432,22-Feb-2022,86,102,4.635689583904614,4.835242855737453,4.1652305413402715,4.782181139361001,Y,Study Planner,N,5,0,Good,Positive
SG,GMBA,Sep-22,Unit 3,Prof_Brown,prof_johnson@spjain.edu,28-Feb-2022,21,115,123,72.8721328382577,9-Oct-2022,74,107,4.598701709726866,4.872001262338279,4.600269545494736,4.3590025927496505,Y,Study Planner,Y,2,2,Satisfactory,Neutral
SG,GMBA,Sep-22,Unit 4,Prof_Williams,prof_smith@spjain.edu,6-Mar-2022,22,84,109,88.5242264779605,1-Feb-2022,93,93,3.9890527274145353,4.299010369740319,3.8731502034295975,3.9362923175859033,N,Document Creator,Y,2,1,Excellent,Very Positive
SG,GMBA,Sep-22,Unit 5,Prof_Williams,prof_brown@spjain.edu,22-Jul-2022,25,118,128,80.35459344706811,7-Sep-2022,67,102,4.058887723417257,4.111571117088494,4.446334880236146,4.181285854709952,N,Document Creator,Y,6,4,Excellent,Very Positive
DXB,GMBA,Jan-22,Unit 1,Prof_Johnson,prof_williams@spjain.edu,7-Mar-2022,18,98,120,72.99960859263872,16-Dec-2022,87,91,3.6679414122869796,4.385840582654167,3.9531217876843256,4.282212994744598,N,Document Creator,N,0,3,Excellent,Some Concerns
DXB,GMBA,Jan-22,Unit 2,Prof_Smith,prof_williams@spjain.edu,19-Jul-2022,22,120,126,77.23788013964395,13-Jan-2022,80,90,4.541718800603588,4.479937789634665,4.615228504378877,4.787677652437939,Y,All Features,Y,3,3,Needs Improvement,Very Positive
DXB,GMBA,Jan-22,Unit 3,Prof_Brown,prof_williams@spjain.edu,24-Jun-2022,17,101,149,74.20331770114217,17-Nov-2022,67,113,4.162937681019864,4.796515004738056,4.0843127920196185,4.518330747943466,Y,Quiz Generator,Y,2,2,Good,Positive
DXB,GMBA,Jan-22,Unit 4,Prof_Jones,prof_johnson@spjain.edu,25-Nov-2022,12,91,149,85.69871930295919,15-Oct-2022,97,108,4.385473521809284,4.770252972252227,4.407291013738723,4.881144726830203,N,Study Planner,Y,7,0,Needs Improvement,Some Concerns
DXB,GMBA,Jan-22,Unit 5,Prof_Williams,prof_williams@spjain.edu,19-Jan-2022,21,112,104,77.76019626515777,15-Jan-2022,63,103,4.5812056211620575,3.8844041012908,4.650675037317763,4.697410720038526,N,All Features,Y,7,4,Good,Neutral
DXB,GMBA,May-22,Unit 1,Prof_Jones,prof_brown@spjain.edu,17-Mar-2022,11,108,106,90.27417028306552,27-Jun-2022,65,112,4.339965218486835,3.843056338820741,4.478383874755607,4.887380431705643,Y,Study Planner,N,4,3,Needs Improvement,Neutral
DXB,GMBA,May-22,Unit 2,Prof_Jones,prof_smith@spjain.edu,26-Nov-2022,20,84,121,72.36264868787735,22-Jul-2022,78,96,4.4408537515032,4.522220495051526,4.696976966880045,4.722591526884755,N,Document Creator,Y,5,2,Needs Improvement,Positive
DXB,GMBA,May-22,Unit 3,Prof_Jones,prof_smith@spjain.edu,10-Sep-2022,22,101,108,86.75290999986807,27-Dec-2022,93,85,4.339832266953534,4.265747002954314,4.098010905981463,4.007636736574862,Y,Quiz Generator,N,7,1,Good,Positive
DXB,GMBA,May-22,Unit 4,Prof_Johnson,prof_smith@spjain.edu,10-Feb-2022,11,101,149,85.4507866373377,20-Jul-2022,69,90,3.7350997573193054,4.5621302049473496,4.387214527949304,4.763718375800214,N,Document Creator,N,5,5,Good,Some Concerns
DXB,GMBA,May-22,Unit 5,Prof_Jones,prof_williams@spjain.edu,25-Dec-2022,24,94,134,75.97921243113798,26-Aug-2022,72,103,4.38179887258462,4.427461332700281,4.184657143859923,4.577213972765806,N,All Features,Y,3,4,Good,Neutral
DXB,GMBA,Sep-22,Unit 1,Prof_Smith,prof_brown@spjain.edu,28-Jun-2022,13,113,107,77.12657535148321,25-Mar-2022,77,108,4.6768980716717135,3.9620835215907646,4.181219816214479,4.824978568216466,Y,All Features,N,0,3,Excellent,Some Concerns
DXB,GMBA,Sep-22,Unit 2,Prof_Jones,prof_williams@spjain.edu,8-Jul-2022,12,103,114,70.70468863820375,4-Dec-2022,81,89,3.678879464043633,4.115567337044595,4.612737741468105,4.474500784006377,Y,All Features,N,0,0,Excellent,Neutral
DXB,GMBA,Sep-22,Unit 3,Prof_Johnson,prof_johnson@spjain.edu,18-Dec-2022,23,87,149,77.20253945098077,10-Feb-2022,63,95,4.045773206879476,4.6732890195033825,4.202824978300094,3.655201053406021,N,Document Creator,Y,2,2,Needs Improvement,Very Positive
DXB,GMBA,Sep-22,Unit 4,Prof_Jones,prof_williams@spjain.edu,8-Oct-2022,23,91,142,86.70537257299087,17-Jun-2022,64,113,4.207306547906443,4.665053569429849,4.258384847712272,3.5284680288034322,N,Document Creator,N,5,2,Excellent,Neutral
DXB,GMBA,Sep-22,Unit 5,Prof_Smith,prof_williams@spjain.edu,8-Dec-2022,13,117,147,88.91697316104893,5-Jan-2022,82,114,3.940111435633611,4.507075177822992,4.613422022439963,4.458555592972577,N,Quiz Generator,Y,1,5,Needs Improvement,Very Positive
MUM,GMBA,Jan-22,Unit 1,Prof_Williams,prof_johnson@spjain.edu,2-Apr-2022,11,100,119,82.88458973136247,27-Sep-2022,90,96,3.5476070029979807,4.511590548680825,4.0147219851067035,4.7069939426569505,Y,Study Planner,N,1,2,Needs Improvement,Some Concerns
MUM,GMBA,Jan-22,Unit 2,Prof_Brown,prof_brown@spjain.edu,11-Mar-2022,25,111,123,93.10776166567409,17-May-2022,65,107,3.602605107872108,4.46269862871325,4.604575407493876,4.263664156282492,N,Document Creator,Y,5,5,Satisfactory,Neutral
MUM,GMBA,Jan-22,Unit 3,Prof_Brown,prof_jones@spjain.edu,23-Jul-2022,15,108,122,81.17824149175642,24-Jun-2022,99,107,3.856921968097315,4.878030007113708,4.742694816463395,3.605057630983423,N,Study Planner,Y,0,1,Needs Improvement,Very Positive
MUM,GMBA,Jan-22,Unit 4,Prof_Johnson,prof_smith@spjain.edu,8-Nov-2022,21,103,124,93.736677796998,2-Oct-2022,69,108,4.733470588045224,4.209214716317752,4.539392918978438,4.303490489667454,N,All Features,N,4,1,Excellent,Very Positive
MUM,GMBA,Jan-22,Unit 5,Prof_Johnson,prof_brown@spjain.edu,17-Jul-2022,13,96,149,76.50724427849758,15-Apr-2022,99,98,4.4021748333530315,4.898491727861168,3.9201961750902323,3.6900197848227383,Y,All Features,Y,7,0,Satisfactory,Neutral
MUM,GMBA,May-22,Unit 1,Prof_Smith,prof_jones@spjain.edu,18-May-2022,19,90,145,87.73909478025966,23-Nov-2022,71,103,4.161382468726591,3.9334987005863025,3.9210784082954544,3.694427620853712,N,Document Creator,N,8,4,Satisfactory,Some Concerns
MUM,GMBA,May-22,Unit 2,Prof_Jones,prof_johnson@spjain.edu,20-Feb-2022,12,99,125,94.98987609835967,24-Aug-2022,93,106,4.499913915487108,4.70567333945923,3.781125784202363,4.8613316241192726,Y,All Features,N,8,2,Good,Positive
MUM,GMBA,May-22,Unit 3,Prof_Johnson,prof_brown@spjain.edu,17-Jan-2022,13,113,109,77.6031135701867,6-Jun-2022,74,102,4.731728077852542,4.370787572744627,4.012453141290896,3.6104038666996914,Y,Study Planner,Y,4,4,Excellent,Positive
MUM,GMBA,May-22,Unit 4,Prof_Jones,prof_jones@spjain.edu,5-Mar-2022,20,116,102,90.6309066831658,1-Feb-2022,62,116,3.844052680182971,4.031889217672161,4.32935092269067,4.365351796854941,Y,All Features,N,4,3,Good,Some Concerns
MUM,GMBA,May-22,Unit 5,Prof_Williams,prof_brown@spjain.edu,3-Dec-2022,11,90,128,80.39054365535287,15-Apr-2022,81,118,3.686769298511425,4.747633584515745,4.051248031911401,4.883232717253926,N,All Features,Y,5,4,Excellent,Neutral
MUM,GMBA,Sep-22,Unit 1,Prof_Johnson,prof_brown@spjain.edu,4-May-2022,24,95,109,72.42029131401429,10-Jul-2022,99,106,3.8227513644955424,4.7518382518927895,3.8756696283431773,3.958410149121673,N,Quiz Generator,Y,7,4,Needs Improvement,Some Concerns
MUM,GMBA,Sep-22,Unit 2,Prof_Williams,prof_brown@spjain.edu,1-Feb-2022,22,112,129,94.16716576381188,7-Oct-2022,82,83,3.5657025260162594,4.344383623877694,4.670573424005021,4.415964051645464,N,Study Planner,Y,1,3,Good,Neutral
MUM,GMBA,Sep-22,Unit 3,Prof_Williams,prof_brown@spjain.edu,12-Jan-2022,22,83,136,84.04542162914859,12-Sep-2022,78,84,4.002253472473712,4.29538981870446,4.304842798469162,4.655435845142059,Y,Quiz Generator,Y,6,2,Satisfactory,Neutral
MUM,GMBA,Sep-22,Unit 4,Prof_Johnson,prof_johnson@spjain.edu,20-Sep-2022,22,112,102,71.13258381167687,5-Dec-2022,81,110,4.175132523433009,3.963834731034089,4.682444861285807,3.6956933800812974,N,Quiz Generator,N,4,4,Satisfactory,Some Concerns
MUM,GMBA,Sep-22,Unit 5,Prof_Jones,prof_williams@spjain.edu,16-Jan-2022,21,101,143,72.74011473728306,14-Oct-2022,79,120,3.534641301452983,4.322049235493567,4.763777765789255,4.59606558800399,Y,Document Creator,N,2,4,Needs Improvement,Positive
SG,MGB,Jan-23,Unit 1,Prof_Johnson,prof_smith@spjain.edu,19-Dec-2023,13,92,101,81.02596415461832,14-Mar-2023,86,93,4.033490632119516,4.6524695319878,4.712573044886931,4.721944792477249,Y,Quiz Generator,Y,8,2,Needs Improvement,Some Concerns
SG,MGB,Jan-23,Unit 2,Prof_Williams,prof_johnson@spjain.edu,15-Sep-2023,20,114,122,86.8967144139092,28-Dec-2023,76,119,4.129434132203038,4.853071135812782,4.006907035513932,3.917898825666412,N,Study Planner,Y,7,2,Needs Improvement,Neutral
SG,MGB,Jan-23,Unit 3,Prof_Jones,prof_williams@spjain.edu,10-Feb-2023,22,105,122,93.86522158478652,26-Mar-2023,78,82,3.873919444098382,4.585555416248235,4.080999865505178,4.11932655661077,N,All Features,Y,3,4,Satisfactory,Neutral
SG,MGB,Jan-23,Unit 4,Prof_Johnson,prof_smith@spjain.edu,20-Dec-2023,17,95,103,86.7458491223276,17-Apr-2023,100,94,3.5682384388913015,4.254631502653084,4.489093861875268,3.640762866688287,Y,Document Creator,Y,6,5,Needs Improvement,Some Concerns
SG,MGB,Jan-23,Unit 5,Prof_Johnson,prof_williams@spjain.edu,11-May-2023,11,85,141,84.35333382938433,18-Dec-2023,62,91,4.043250476918507,4.721365378002581,4.72731487163602,3.550875788897578,N,All Features,Y,4,0,Excellent,Neutral
SG,MGB,May-23,Unit 1,Prof_Jones,prof_jones@spjain.edu,4-Jun-2023,19,109,141,83.58251208892437,16-Mar-2023,92,109,3.85468820594739,4.689695266067322,4.063752506514964,4.5235669273322845,N,Quiz Generator,Y,5,2,Good,Positive
SG,MGB,May-23,Unit 2,Prof_Jones,prof_brown@spjain.edu,27-Jul-2023,20,85,125,86.73139633524886,6-Mar-2023,90,100,4.7165730031018045,3.807513132593511,4.121931829743634,4.125429730529035,N,Study Planner,N,0,2,Satisfactory,Positive
SG,MGB,May-23,Unit 3,Prof_Smith,prof_smith@spjain.edu,15-May-2023,15,105,143,82.56301178095974,23-May-2023,67,120,4.690969501605826,4.124541360171872,4.376087992958234,3.8067800413094814,Y,All Features,Y,7,5,Satisfactory,Some Concerns
SG,MGB,May-23,Unit 4,Prof_Jones,prof_brown@spjain.edu,25-Sep-2023,16,95,143,88.86848874312163,28-Feb-2023,93,108,4.186625061295151,4.197963355376668,4.708969177459073,3.6570923081521785,Y,Quiz Generator,Y,5,4,Needs Improvement,Very Positive
